tau_m,J_ree
0.0,1.0
0.0001,0.999999999999985
0.0002,0.9999999999999872
0.0003,0.9999999999999977
0.0004,0.9999999999999907
0.0005,0.9999999999999861
0.0006,0.9999999999999907
0.0007,0.9999999999999913
0.0008,0.9999999999999974
0.0009,0.9999999999999899
0.001,0.9999999999999942
0.0011,0.9999999999999907
0.0012,1.0000000000000009
0.0013,0.9999999999999872
0.0014,0.999999999999991
0.0015,0.9999999999999918
0.0016,0.9999999999999934
0.0017,0.9999999999999901
0.0018,0.9999999999999926
0.0019,0.9999999999999895
0.002,0.9999999999999882
0.0021,1.0000000000000027
0.0022,0.9999999999999897
0.0023,0.9999999999999991
0.0024,0.9999999999999893
0.0025,0.9999999999999981
0.0026,0.9999999999999888
0.0027,0.9999999999999912
0.0028,0.9999999999999939
0.0029,0.9999999999999974
0.003,0.9999999999999925
0.0031,0.9999999999999897
0.0032,0.9999999999999925
0.0033,0.9999999999999988
0.0034,0.9999999999999939
0.0035,0.999999999999988
0.0036,0.999999999999991
0.0037,0.9999999999999901
0.0038,1.0000000000000004
0.0039,0.9999999999999917
0.004,0.9999999999999912
0.0041,0.9999999999999934
0.0042,0.9999999999999977
0.0043,0.9999999999999969
0.0044,1.0000000000000004
0.0045,0.9999999999999934
0.0046,0.9999999999999931
0.0047,0.999999999999992
0.0048,0.9999999999999934
0.0049,0.9999999999999899
0.005,0.9999999999999908
0.0051,0.999999999999995
0.0052,0.9999999999999953
0.0053,0.9999999999999948
0.0054,0.9999999999999944
0.0055,0.9999999999999926
0.0056,0.9999999999999923
0.0057,0.9999999999999937
0.0058,0.9999999999999888
0.0059,1.000000000000003
0.006,0.9999999999999901
0.0061,0.9999999999999912
0.0062,0.9999999999999925
0.0063,0.999999999999992
0.0064,0.9999999999999979
0.0065,0.9999999999999929
0.0066,0.9999999999999944
0.0067,0.9999999999999973
0.0068,0.9999999999999905
0.0069,0.9999999999999912
0.007,0.9999999999999897
0.0071,0.9999999999999923
0.0072,0.999999999999996
0.0073,0.9999999999999901
0.0074,0.9999999999999922
0.0075,0.9999999999999879
0.0076,0.9999999999999953
0.0077,0.999999999999995
0.0078,0.9999999999999917
0.0079,0.9999999999999892
0.008,0.9999999999999988
0.0081,1.0125055321616412
0.0082,1.0251672361052018
0.0083,1.0379894101704241
0.0084,1.0509765292691453
0.0085,1.0641332539092347
0.0086,1.0774644397893416
0.0087,1.090975148005845
0.0088,1.104670655917125
0.0089,1.1185564687141312
0.009,1.1326383317506945
0.0091,1.1469222436913349
0.0092,1.1614144705402045
0.0093,1.1761215606197482
0.0094,1.1910503605745617
0.0095,1.2062080324826303
0.0096,1.2216020721637955
0.0097,1.2372403287838305
0.0098,1.2531310258619681
0.0099,1.2692827837999576
0.01,1.2857046440625293
0.0101,1.3024060951517162
0.0102,1.319397100531974
0.0103,1.3366881286788013
0.0104,1.3542901854415352
0.0105,1.3722148489303234
0.0106,1.390474307160099
0.0107,1.4090813987086712
0.0108,1.4280496566740866
0.0109,1.4473933562477237
0.011,1.4671275662547245
0.0111,1.4872682050529813
0.0112,1.5078321012266005
0.0113,1.528837059560521
0.0114,1.550301932840162
0.0115,1.5722467000847398
0.0116,1.594692551897003
0.0117,1.6176619836962358
0.0118,1.641178897697028
0.0119,1.6652687146059437
0.012,1.689958496134184
0.0121,1.7152770795676562
0.0122,1.7412552258021234
0.0123,1.7679257824419512
0.0124,1.7953238637813287
0.0125,1.8234870497423639
0.0126,1.852455606141679
0.0127,1.8822727290006662
0.0128,1.9129848160191736
0.0129,1.9446417688018591
0.013,1.9772973299798582
0.0131,2.0110094600205244
0.0132,2.04584075928545
0.0133,2.081858941804941
0.0134,2.1191373683167054
0.0135,2.157755647401233
0.0136,2.197800315084639
0.0137,2.239365605123663
0.0138,2.2825543244110573
0.0139,2.327478850627467
0.014,2.3742622725303306
0.0141,2.4230396972537136
0.0142,2.473959753869415
0.0143,2.5271863284676295
0.0144,2.582900573443281
0.0145,2.6413032429123517
0.0146,2.7026174177327507
0.0147,2.7670916981263063
0.0148,2.8350039602685047
0.0149,2.9066657966002007
0.015,2.9824277895833493
0.0151,3.0626858073054932
0.0152,3.147888559634558
0.0153,3.2385467195521294
0.0154,3.3352440014363025
0.0155,3.438650704290516
0.0156,3.549540384428368
0.0157,3.668810535054851
0.0158,3.7975084430821897
0.0159,3.9368638011938293
0.016,4.08833022788242
0.0161,4.253638669605578
0.0162,4.434866850884637
0.0163,4.634530695355319
0.0164,4.8557062782032885
0.0165,5.102194906946175
0.0166,5.3787502394123905
0.0167,5.691396455422525
0.0168,6.04788311992129
0.0169,6.458350533767408
0.017,6.936328705732721
0.0171,7.500282908748069
0.0172,8.176089735442016
0.0173,9.001170120691366
0.0174,10.031735369082082
0.0175,11.35627439524257
0.0176,13.122605112949538
0.0177,15.59760987262055
0.0178,19.31734266412272
0.0179,25.540794192964324
0.018,38.08850842289668
0.0181,76.60141262604517
