ctrl_iteration,exec_time,malicious_wait_time
0,1772.03,0.00
1,3714.75,0.00
2,2788.10,0.00
3,3729.86,0.00
4,1783.32,0.00
5,1742.78,0.00
6,1756.32,0.00
7,1721.94,0.00
8,1761.48,0.00
9,1726.61,0.00
10,1741.17,0.00
11,1756.22,0.00
12,1719.36,0.00
13,1723.68,0.00
14,3694.54,0.00
15,2738.48,0.00
16,2745.70,0.00
17,3735.67,0.00
18,2794.64,0.00
19,2723.78,0.00
20,3715.87,0.00
21,3725.32,0.00
22,2788.08,0.00
23,2736.49,0.00
24,3727.18,0.00
25,2786.50,0.00
26,1802.97,0.00
27,3809.28,0.00
28,3043.86,0.00
29,3631.27,0.00
30,3475.36,0.00
31,2737.43,0.00
32,3727.28,0.00
33,3733.29,0.00
34,1782.67,0.00
35,1726.40,0.00
36,1730.24,0.00
37,1728.65,0.00
38,1731.21,0.00
39,1743.19,0.00
40,1746.16,0.00
41,1763.34,0.00
42,1718.44,0.00
43,1729.45,0.00
44,3708.94,0.00
45,2792.97,0.00
46,2014.56,0.00
47,3498.68,0.00
48,3748.87,0.00
49,2787.88,0.00
50,3703.54,0.00
51,2768.35,0.00
52,2729.06,0.00
53,2729.75,0.00
54,3731.99,0.00
55,2797.83,0.00
56,2730.44,0.00
57,2736.57,0.00
58,3736.35,0.00
59,2791.09,0.00
60,1790.06,0.00
61,3729.73,0.00
62,3739.22,0.00
63,2789.73,0.00
64,1784.29,0.00
65,1771.53,0.00
66,1740.53,0.00
67,1751.99,0.00
68,1736.74,0.00
69,1741.13,0.00
70,1763.30,0.00
71,1739.59,0.00
72,1760.35,0.00
73,1731.35,0.00
74,3706.78,0.00
75,2777.51,0.00
76,2784.82,0.00
77,3712.53,0.00
78,2790.47,0.00
79,3727.79,0.00
80,3729.34,0.00
81,2779.66,0.00
82,3725.84,0.00
83,2785.62,0.00
84,2774.22,0.00
85,2744.90,0.00
86,3741.72,0.00
87,3736.03,0.00
88,2782.95,0.00
89,2747.01,0.00
90,3737.75,0.00
91,2784.49,0.00
92,1768.38,0.00
93,3732.06,0.00
94,1769.05,0.00
95,1740.68,0.00
96,1757.75,0.00
97,1734.76,0.00
98,1748.15,0.00
99,1732.54,0.00
100,1765.00,0.00
101,1732.40,0.00
102,1736.55,0.00
103,1762.57,0.00
104,3696.43,0.00
105,3722.86,0.00
106,2793.95,0.00
107,3709.64,0.00
108,2795.23,0.00
109,2787.03,0.00
110,2773.08,0.00
111,3713.52,0.00
112,2794.70,0.00
113,3740.14,0.00
114,2789.59,0.00
115,3731.14,0.00
116,2779.08,0.00
117,3716.60,0.00
118,2785.47,0.00
119,2737.72,0.00
120,3727.11,0.00
121,2781.03,0.00
122,1753.12,0.00
123,1734.95,0.00
124,1746.73,0.00
125,1772.77,0.00
126,1739.19,0.00
127,1770.77,0.00
128,1741.56,0.00
129,1765.59,0.00
130,1735.00,0.00
131,1739.74,0.00
132,2731.15,0.00
133,2767.79,0.00
134,2727.00,0.00
135,2724.32,0.00
136,2732.03,0.00
137,3729.22,0.00
138,2779.43,0.00
139,1777.04,0.00
140,3715.55,0.00
141,3729.65,0.00
142,2780.33,0.00
143,3723.16,0.00
144,2777.84,0.00
145,2734.61,0.00
146,3721.30,0.00
147,3713.10,0.00
148,2777.64,0.00
149,2731.45,0.00
150,3729.17,0.00
151,2792.12,0.00
152,1767.31,0.00
153,3744.75,0.00
154,1675.59,0.00
155,1735.15,0.00
156,1738.65,0.00
157,1739.80,0.00
158,1752.24,0.00
159,1731.11,0.00
160,1739.60,0.00
161,1757.06,0.00
162,1724.03,0.00
163,1727.57,0.00
164,3703.68,0.00
165,3736.38,0.00
166,3925.36,0.00
167,3710.34,0.00
168,2652.13,0.00
169,2778.19,0.00
170,3707.66,0.00
171,3732.05,0.00
172,3798.01,0.00
173,3741.76,0.00
174,2785.51,0.00
175,2773.55,0.00
176,3703.19,0.00
177,3736.67,0.00
178,3785.29,0.00
179,3729.40,0.00
180,3741.74,0.00
181,2790.35,0.00
182,3721.83,0.00
183,1790.29,0.00
184,1732.44,0.00
185,1731.51,0.00
186,1756.57,0.00
187,1727.68,0.00
188,1737.56,0.00
189,1740.66,0.00
190,1761.67,0.00
191,1732.50,0.00
192,1739.68,0.00
193,3712.75,0.00
194,3724.88,0.00
195,3790.97,0.00
196,2782.22,0.00
197,5599.44,0.00
198,3865.06,0.00
199,3793.98,0.00
200,3727.12,0.00
201,2775.62,0.00
202,3053.25,0.00
203,4409.29,0.00
204,3785.77,0.00
205,3742.59,0.00
206,3732.16,0.00
207,2788.86,0.00
208,5510.68,0.00
209,3999.15,0.00
210,3749.04,0.00
211,3746.00,0.00
212,1883.68,0.00
213,1728.00,0.00
214,1740.79,0.00
215,1757.77,0.00
216,1725.23,0.00
217,1727.64,0.00
218,1734.05,0.00
219,1745.93,0.00
220,1746.59,0.00
221,1766.50,0.00
222,3707.70,0.00
223,2777.67,0.00
224,2851.42,0.00
225,3962.90,0.00
226,3390.31,0.00
227,2783.51,0.00
228,3726.22,0.00
229,2788.57,0.00
230,3715.37,0.00
231,2783.46,0.00
232,2733.34,0.00
233,2741.46,0.00
234,3725.40,0.00
235,2785.62,0.00
236,3708.39,0.00
237,2782.96,0.00
238,3707.31,0.00
239,2749.97,0.00
240,2750.43,0.00
241,3724.56,0.00
242,1769.58,0.00
243,1734.79,0.00
244,1756.17,0.00
245,1714.51,0.00
246,1719.19,0.00
247,1749.24,0.00
248,1827.88,0.00
249,2608.71,0.00
250,1768.13,0.00
251,1724.50,0.00
252,3700.57,0.00
253,1741.88,0.00
254,3712.29,0.00
255,2747.72,0.00
256,3729.51,0.00
257,2792.38,0.00
258,2717.42,0.00
259,3688.75,0.00
260,2751.53,0.00
261,3742.21,0.00
262,2784.35,0.00
263,2773.27,0.00
264,2727.34,0.00
265,3722.48,0.00
266,2783.14,0.00
267,3727.43,0.00
268,2788.35,0.00
269,3728.25,0.00
270,2770.46,0.00
271,1729.75,0.00
272,1738.44,0.00
273,1759.85,0.00
274,1721.87,0.00
275,1724.71,0.00
276,1738.99,0.00
277,1775.39,0.00
278,1713.54,0.00
279,1718.40,0.00
280,1725.17,0.00
281,3706.02,0.00
282,2745.94,0.00
283,2750.60,0.00
284,3736.93,0.00
285,2780.70,0.00
286,2727.05,0.00
287,3721.51,0.00
288,3732.49,0.00
289,2796.13,0.00
290,2742.15,0.00
291,3736.27,0.00
292,2801.35,0.00
293,2775.92,0.00
294,3700.73,0.00
295,2780.25,0.00
296,3729.78,0.00
297,2789.57,0.00
298,3732.60,0.00
299,2797.75,0.00
300,3732.89,0.00
301,2794.12,0.00
302,1782.78,0.00
303,1763.16,0.00
304,1722.72,0.00
305,1738.85,0.00
306,1746.46,0.00
307,1762.80,0.00
308,1734.40,0.00
309,1738.19,0.00
310,1742.97,0.00
311,1754.23,0.00
312,3707.77,0.00
313,3746.28,0.00
314,2790.00,0.00
315,2744.60,0.00
316,3727.20,0.00
317,3726.34,0.00
318,2730.22,0.00
319,2728.89,0.00
320,3721.80,0.00
321,2783.91,0.00
322,1755.70,0.00
323,3397.86,0.00
324,5319.48,0.00
325,4511.08,0.00
326,3793.54,0.00
327,2751.08,0.00
328,3729.08,0.00
329,3717.45,0.00
330,2775.76,0.00
331,1766.27,0.00
332,1720.64,0.00
333,1723.75,0.00
334,1728.48,0.00
335,1735.25,0.00
336,1743.29,0.00
337,1746.18,0.00
338,1760.69,0.00
339,1730.15,0.00
340,1732.11,0.00
341,3707.06,0.00
342,3751.69,0.00
343,3749.81,0.00
344,2789.62,0.00
345,2728.21,0.00
346,3700.28,0.00
347,2775.83,0.00
348,3718.35,0.00
349,2772.28,0.00
350,3712.48,0.00
351,3722.07,0.00
352,2774.17,0.00
353,2025.73,0.00
354,3422.33,0.00
355,3748.61,0.00
356,2786.84,0.00
357,3706.82,0.00
358,2788.28,0.00
359,2745.96,0.00
360,2751.45,0.00
361,1781.62,0.00
362,1718.61,0.00
363,1723.28,0.00
364,1724.27,0.00
365,1722.79,0.00
366,1722.55,0.00
367,1725.38,0.00
368,1728.50,0.00
369,1720.04,0.00
370,1722.67,0.00
371,3689.79,0.00
372,2744.66,0.00
373,2772.67,0.00
374,2710.69,0.00
375,2737.07,0.00
376,3728.97,0.00
377,2790.98,0.00
378,2738.33,0.00
379,2770.83,0.00
380,3702.94,0.00
381,2784.94,0.00
382,3730.51,0.00
383,2746.71,0.00
384,2781.20,0.00
385,2736.97,0.00
386,3711.70,0.00
387,2794.64,0.00
388,3729.14,0.00
389,2773.81,0.00
390,1770.11,0.00
391,1732.65,0.00
392,1757.11,0.00
393,1720.65,0.00
394,1760.80,0.00
395,1721.32,0.00
396,1727.33,0.00
397,1735.39,0.00
398,1743.63,0.00
399,1762.15,0.00
400,3705.59,0.00
401,2794.59,0.00
402,2742.67,0.00
403,3716.61,0.00
404,2790.95,0.00
405,3733.35,0.00
406,2794.06,0.00
407,2772.21,0.00
408,2722.07,0.00
409,3693.30,0.00
410,2745.53,0.00
411,3727.55,0.00
412,2751.35,0.00
413,2783.80,0.00
414,2727.29,0.00
415,3710.56,0.00
416,2790.77,0.00
417,3729.48,0.00
418,2751.05,0.00
419,1789.65,0.00
420,1727.45,0.00
421,1734.12,0.00
422,1728.62,0.00
423,1738.97,0.00
424,1742.41,0.00
425,1747.68,0.00
426,1771.54,0.00
427,1731.73,0.00
428,1734.89,0.00
429,3717.74,0.00
430,2801.59,0.00
431,2749.23,0.00
432,3707.53,0.00
433,2740.56,0.00
434,3722.99,0.00
435,2738.28,0.00
436,2751.35,0.00
437,2772.93,0.00
438,3695.64,0.00
439,2777.39,0.00
440,3723.98,0.00
441,2776.67,0.00
442,2729.72,0.00
443,2710.69,0.00
444,2728.46,0.00
445,3723.47,0.00
446,2743.93,0.00
447,1770.51,0.00
448,3707.97,0.00
449,1769.65,0.00
450,1720.30,0.00
451,1723.37,0.00
452,1834.65,0.00
453,2606.79,0.00
454,1721.94,0.00
455,1742.47,0.00
456,1738.75,0.00
457,1734.11,0.00
458,1725.57,0.00
459,3696.21,0.00
460,2733.39,0.00
461,1771.02,0.00
462,3708.50,0.00
463,2779.46,0.00
464,3722.00,0.00
465,3725.54,0.00
466,2788.63,0.00
467,2733.05,0.00
468,3722.20,0.00
469,2778.05,0.00
470,2730.78,0.00
471,3703.64,0.00
472,2783.73,0.00
473,3720.28,0.00
474,2790.02,0.00
475,2729.90,0.00
476,3720.43,0.00
477,3718.79,0.00
478,2780.39,0.00
479,2723.51,0.00
480,1738.36,0.00
481,1735.69,0.00
482,1735.45,0.00
483,1733.26,0.00
484,1730.40,0.00
485,1731.65,0.00
486,1733.01,0.00
487,1740.29,0.00
488,1738.69,0.00
489,1736.67,0.00
490,3703.33,0.00
491,2744.94,0.00
492,2774.52,0.00
493,2734.24,0.00
494,3706.18,0.00
495,2789.63,0.00
496,3722.56,0.00
497,2743.22,0.00
498,3721.60,0.00
499,3716.73,0.00
500,2796.98,0.00
501,2777.10,0.00
502,2729.04,0.00
503,3733.29,0.00
504,2791.96,0.00
505,2723.22,0.00
506,2729.34,0.00
507,3732.72,0.00
508,2768.76,0.00
509,1734.31,0.00
510,1739.94,0.00
511,1739.83,0.00
512,1732.46,0.00
513,1732.76,0.00
514,1731.70,0.00
515,1733.24,0.00
516,1736.80,0.00
517,1737.83,0.00
518,1778.16,0.00
519,3805.54,0.00
520,2850.71,0.00
521,4512.15,0.00
522,3752.07,0.00
523,2785.28,0.00
524,3735.66,0.00
525,2798.14,0.00
526,3728.93,0.00
527,2749.58,0.00
528,3726.67,0.00
529,2788.13,0.00
530,2738.77,0.00
531,3722.43,0.00
532,2734.75,0.00
533,1764.00,0.00
534,5637.66,0.00
535,4791.89,0.00
536,4035.71,0.00
537,3443.81,0.00
538,1807.33,0.00
539,1756.73,0.00
540,1718.71,0.00
541,1721.93,0.00
542,1717.13,0.00
543,1724.09,0.00
544,1729.94,0.00
545,1736.85,0.00
546,1733.52,0.00
547,1736.90,0.00
548,3710.89,0.00
549,2791.25,0.00
550,3733.28,0.00
551,3732.80,0.00
552,2774.40,0.00
553,2735.08,0.00
554,2735.79,0.00
555,3727.70,0.00
556,3736.97,0.00
557,2801.07,0.00
558,2730.00,0.00
559,2734.68,0.00
560,3718.50,0.00
561,2776.58,0.00
562,3706.73,0.00
563,2788.21,0.00
564,3722.03,0.00
565,2781.80,0.00
566,2734.02,0.00
567,3715.47,0.00
568,1770.08,0.00
569,1730.89,0.00
570,1728.92,0.00
571,1725.78,0.00
572,1733.69,0.00
573,1741.44,0.00
574,1740.64,0.00
575,1765.06,0.00
576,1721.98,0.00
577,1730.16,0.00
578,3727.93,0.00
579,3715.78,0.00
580,3743.46,0.00
581,3750.32,0.00
582,2787.43,0.00
583,1780.26,0.00
584,3710.95,0.00
585,3733.21,0.00
586,2769.21,0.00
587,3715.20,0.00
588,2750.71,0.00
589,2773.81,0.00
590,3708.40,0.00
591,3722.65,0.00
592,2779.97,0.00
593,2729.09,0.00
594,3717.90,0.00
595,2773.82,0.00
596,2705.40,0.00
597,2735.19,0.00
598,3723.35,0.00
599,1792.73,0.00
600,1731.88,0.00
601,1734.25,0.00
602,1734.54,0.00
603,1737.39,0.00
604,1736.40,0.00
605,1736.99,0.00
606,1738.34,0.00
607,1742.41,0.00
608,1760.58,0.00
609,3702.50,0.00
610,2782.59,0.00
611,2726.40,0.00
612,3721.13,0.00
613,2772.64,0.00
614,2714.68,0.00
615,2743.98,0.00
616,3731.80,0.00
617,2788.17,0.00
618,1767.65,0.00
619,5683.20,0.00
620,4827.62,0.00
621,4645.71,0.00
622,3793.87,0.00
623,2772.16,0.00
624,3721.50,0.00
625,3737.21,0.00
626,2800.30,0.00
627,2784.90,0.00
628,2735.00,0.00
629,1776.91,0.00
630,1739.66,0.00
631,1760.60,0.00
632,1729.96,0.00
633,1740.84,0.00
634,1734.84,0.00
635,1743.28,0.00
636,1745.75,0.00
637,1766.30,0.00
638,1734.70,0.00
639,3710.31,0.00
640,2793.34,0.00
641,2751.01,0.00
642,2770.21,0.00
643,3705.38,0.00
644,2780.38,0.00
645,3724.92,0.00
646,2784.93,0.00
647,3721.99,0.00
648,3721.47,0.00
649,2781.79,0.00
650,2742.72,0.00
651,2771.62,0.00
652,3714.01,0.00
653,2775.44,0.00
654,2714.74,0.00
655,2747.26,0.00
656,3733.19,0.00
657,2780.36,0.00
658,2737.58,0.00
659,1770.37,0.00
660,1747.03,0.00
661,1763.04,0.00
662,1728.27,0.00
663,1740.54,0.00
664,1757.72,0.00
665,1725.87,0.00
666,1774.85,0.00
667,1737.64,0.00
668,2723.40,0.00
669,2160.75,0.00
670,4319.40,0.00
671,4732.33,0.00
672,2751.18,0.00
673,1790.93,0.00
674,3703.12,0.00
675,2781.59,0.00
676,3722.05,0.00
677,2780.14,0.00
678,2726.65,0.00
679,2723.22,0.00
680,3720.87,0.00
681,2786.04,0.00
682,1773.84,0.00
683,3706.59,0.00
684,3714.71,0.00
685,2772.09,0.00
686,3719.13,0.00
687,2781.25,0.00
688,2728.47,0.00
689,1728.57,0.00
690,1729.03,0.00
691,1735.10,0.00
692,1735.86,0.00
693,1739.32,0.00
694,1741.00,0.00
695,1742.57,0.00
696,1760.24,0.00
697,1723.22,0.00
698,1728.26,0.00
699,3710.46,0.00
700,2783.83,0.00
701,3720.48,0.00
702,2786.94,0.00
703,2737.38,0.00
704,3728.45,0.00
705,2776.28,0.00
706,2714.36,0.00
707,2734.86,0.00
708,3716.90,0.00
709,2800.25,0.00
710,2724.11,0.00
711,3716.12,0.00
712,3715.17,0.00
713,2775.78,0.00
714,2728.54,0.00
715,3731.97,0.00
716,2788.27,0.00
717,1753.00,0.00
718,5632.03,0.00
719,3804.67,0.00
720,1766.51,0.00
721,1728.61,0.00
722,1727.80,0.00
723,1732.31,0.00
724,1736.64,0.00
725,1734.69,0.00
726,1731.47,0.00
727,1732.16,0.00
728,1729.86,0.00
729,1733.64,0.00
730,3709.86,0.00
731,2784.16,0.00
732,3720.90,0.00
733,2772.47,0.00
734,3705.84,0.00
