ctrl_iteration,exec_time,tau_i,tau_o
0,3366.59,1.25,0.45
1,4155.74,1.25,0.45
2,2983.11,1.30,0.45
3,1818.10,1.25,0.45
4,6525.86,1.25,0.45
5,5361.55,1.25,0.45
6,5169.37,1.25,0.45
7,4004.49,1.25,0.45
8,2830.61,1.25,0.45
9,4603.01,1.25,0.45
10,3437.81,1.25,0.45
11,3237.45,1.30,0.45
12,4027.48,1.25,0.45
13,2862.15,1.25,0.45
14,3651.45,1.25,0.45
15,3468.85,1.30,0.45
16,2295.95,1.25,0.45
17,2112.71,1.25,0.45
18,1929.54,1.25,0.45
19,2883.71,1.25,0.45
20,2527.74,1.25,0.45
21,2336.00,1.30,0.45
22,2144.19,1.25,0.45
23,1952.10,1.25,0.45
24,2741.01,1.25,0.45
25,2550.42,1.25,0.50
26,4312.48,1.25,0.45
27,3138.84,1.25,0.45
28,3929.25,1.25,0.45
29,2755.54,1.25,0.45
30,4526.88,1.25,0.45
31,3362.24,1.25,0.45
32,3161.11,1.25,0.45
33,3952.20,1.25,0.45
34,2777.83,1.25,0.45
35,3567.52,1.30,0.45
36,3393.62,1.25,0.45
37,4148.21,1.25,0.45
38,2974.95,1.25,0.45
39,1802.02,1.25,0.45
40,6509.25,1.25,0.45
41,5336.30,1.25,0.45
42,4457.85,1.25,0.45
43,3979.71,1.25,0.45
44,2814.81,1.25,0.45
45,2631.87,1.25,0.45
46,2440.31,1.25,0.45
47,2248.08,1.25,0.45
48,2065.00,1.25,0.45
49,1873.40,1.25,0.45
50,2671.50,1.30,0.45
51,2488.44,1.25,0.45
52,2296.90,1.25,0.45
53,2105.32,1.25,0.45
54,1922.16,1.30,0.45
55,4674.77,1.25,0.45
56,3528.04,1.25,0.45
57,4291.42,1.25,0.50
58,3126.32,1.25,0.45
59,2942.99,1.25,0.45
60,2752.64,1.25,0.45
61,4523.40,1.25,0.45
62,3350.22,1.25,0.45
63,4147.94,1.25,0.45
64,2974.41,1.25,0.45
65,3764.39,1.25,0.50
66,4554.68,1.25,0.45
67,3389.94,1.25,0.45
68,3284.26,1.25,0.45
69,3015.36,1.25,0.45
70,3804.72,1.30,0.45
71,4594.29,1.25,0.45
72,3421.81,1.25,0.45
73,3229.09,1.25,0.50
74,2064.50,1.25,0.45
75,1872.66,1.25,0.45
76,2688.83,1.25,0.45
77,2470.80,1.25,0.45
78,2279.13,1.25,0.45
79,2087.37,1.25,0.45
80,1895.51,1.25,0.45
81,2694.22,1.25,0.50
82,2510.76,1.25,0.45
83,2319.70,1.25,0.45
84,4090.37,1.25,0.45
85,2926.00,1.25,0.45
86,4714.71,1.25,0.45
87,3549.24,1.25,0.45
88,3366.40,1.25,0.45
89,4165.09,1.25,0.45
90,3000.21,1.25,0.45
91,1836.61,1.25,0.45
92,6543.73,1.25,0.45
93,5378.27,1.25,0.45
94,5195.78,1.25,0.45
95,4030.91,1.25,0.45
96,2857.33,1.25,0.45
97,4646.00,1.25,0.45
98,3472.41,1.25,0.45
99,3290.06,1.25,0.45
100,4079.04,1.30,0.45
101,2905.80,1.30,0.45
102,3696.02,1.25,0.45
103,3503.62,1.25,0.45
104,2330.81,1.25,0.45
105,2139.14,1.25,0.45
106,1955.82,1.25,0.45
107,2745.21,1.25,0.45
108,2554.19,1.30,0.45
109,2362.36,1.25,0.45
110,2178.99,1.25,0.45
111,1987.36,1.25,0.45
112,1803.91,1.25,0.45
113,2593.11,1.25,0.45
114,4365.10,1.25,0.45
115,3192.41,1.25,0.45
116,4007.30,1.30,0.45
117,2825.33,1.25,0.45
118,4596.98,1.25,0.45
119,3431.74,1.25,0.45
120,3240.76,1.25,0.45
121,4030.15,1.30,0.45
122,2857.04,1.25,0.45
123,3655.22,1.25,0.45
124,3471.91,1.25,0.45
125,4270.30,1.25,0.45
126,3106.06,1.25,0.45
127,1941.44,1.25,0.45
128,6648.99,1.25,0.50
129,5475.31,1.25,0.45
130,4588.75,1.25,0.45
131,4119.26,1.25,0.50
132,2945.08,1.25,0.45
133,1900.27,1.25,0.45
134,2562.51,13.65,0.60
135,2379.18,1.25,0.45
136,2187.36,1.30,0.45
137,2003.96,1.25,0.45
138,1812.10,1.25,0.50
139,2601.45,1.25,0.45
140,2410.05,1.25,0.45
141,2218.27,1.25,0.45
142,2035.27,1.25,0.45
143,3798.20,1.25,0.45
144,3615.24,1.25,0.45
145,2441.60,1.25,0.45
146,4212.44,1.25,0.45
147,3038.95,1.25,0.45
148,3820.93,1.25,0.45
149,4609.77,1.25,0.45
150,3436.80,1.25,0.45
151,3244.99,1.25,0.45
152,4035.35,1.30,0.45
153,2861.49,1.25,0.45
154,3642.56,1.25,0.45
155,3451.05,1.30,0.50
156,4240.84,1.25,0.45
157,3067.33,1.25,0.45
158,1894.08,1.25,0.45
159,6584.27,1.25,0.45
160,5410.20,1.25,0.45
161,4523.75,1.30,0.45
162,4045.76,1.25,0.45
163,1899.29,1.25,0.45
164,2688.79,1.25,0.45
165,2497.33,1.25,0.45
166,2305.64,1.30,0.45
167,2113.76,1.25,0.45
168,1930.75,1.25,0.45
169,2720.56,1.25,0.50
170,2528.57,1.25,0.45
171,2336.54,1.25,0.45
172,2145.03,1.25,0.45
173,3915.99,1.25,0.45
174,2742.90,1.25,0.45
175,4514.30,1.25,0.45
176,3340.80,1.25,0.45
177,3149.42,1.25,0.50
178,3938.98,1.25,0.45
179,2765.44,1.25,0.45
180,3546.35,1.25,0.45
181,3354.86,1.25,0.45
182,4136.31,1.25,0.45
183,2963.26,1.25,0.45
184,2762.11,1.25,0.45
185,4533.39,1.25,0.45
186,3360.13,1.25,0.50
187,4149.83,1.25,0.45
188,2984.90,1.25,0.45
189,2784.57,1.30,0.45
190,4556.87,1.30,0.45
191,3382.51,1.25,0.45
192,4173.06,1.25,0.50
193,2026.53,1.25,0.45
194,1834.49,1.25,0.45
195,2623.79,1.25,0.45
196,2432.96,1.25,0.45
197,2240.82,1.25,0.45
198,2049.63,1.25,0.45
199,1856.89,1.25,0.45
200,2647.00,1.25,0.45
201,2455.17,1.25,0.45
202,2271.85,1.25,0.45
203,4026.42,1.25,0.45
204,2853.92,1.25,0.45
205,4633.14,1.25,0.45
206,3459.90,1.25,0.45
207,3267.74,1.25,0.45
208,4048.83,1.20,0.45
209,2875.43,1.25,0.45
210,3664.82,1.25,0.45
211,3473.34,1.25,0.45
212,4271.39,1.25,0.45
213,3098.71,1.25,0.45
214,1925.32,1.20,0.45
215,6632.60,1.25,0.45
216,5459.55,1.25,0.45
217,4581.20,1.25,0.50
218,4103.04,1.25,0.45
219,2937.28,1.25,0.45
220,4717.30,1.20,0.45
221,3544.64,1.25,0.50
222,2380.35,1.25,0.50
223,2187.74,1.25,0.45
224,2004.86,1.20,0.50
225,1813.22,1.25,0.45
226,2603.11,1.25,0.45
227,2419.78,1.20,0.45
228,2227.63,1.25,0.45
229,2035.74,1.20,0.45
230,1845.09,1.25,0.45
231,2634.76,1.25,0.45
232,2572.99,1.25,0.45
233,4213.46,1.25,0.45
234,4030.87,1.25,0.45
235,2856.59,1.25,0.45
236,4619.87,1.25,0.45
237,3438.28,1.25,0.45
238,3254.34,1.25,0.45
239,3063.42,1.25,0.45
240,3852.88,1.25,0.45
241,4642.43,1.20,0.45
242,3477.79,1.25,0.45
243,3286.69,1.25,0.45
244,4075.58,1.25,0.45
245,2911.26,1.25,0.45
246,3701.21,1.20,0.45
247,3518.10,1.25,0.45
248,4316.57,1.25,0.45
249,3143.17,1.25,0.45
250,1978.44,1.20,0.45
251,3749.41,1.25,0.45
252,4539.54,1.25,0.45
253,2393.08,1.25,0.45
254,2201.48,1.25,0.45
255,2018.01,1.25,0.45
256,1826.52,1.20,0.45
257,2607.83,1.25,0.45
258,2424.27,1.25,0.45
259,2241.15,1.25,0.45
260,2049.65,1.25,0.45
261,1866.98,1.20,0.45
262,2655.89,1.20,0.45
263,4427.42,1.20,0.45
264,3254.41,1.25,0.45
265,3062.67,1.20,0.45
266,2878.43,1.25,0.45
267,4642.37,1.25,0.45
268,3468.42,1.25,0.45
269,4267.18,1.25,0.45
270,3102.70,1.25,0.50
271,3892.30,1.25,0.45
272,4682.56,1.20,0.45
273,3508.73,1.25,0.45
274,2631.32,1.25,0.45
275,3420.41,1.25,0.45
276,2960.40,1.20,0.45
277,3749.15,1.25,0.45
278,4547.70,1.20,0.45
279,3373.79,1.20,0.45
280,4164.18,1.25,0.45
281,2027.67,1.25,0.45
282,1834.65,1.25,0.45
283,2624.64,1.25,0.45
284,2441.72,1.25,0.45
285,2249.63,1.25,0.45
286,2058.47,1.20,0.50
287,1866.51,1.25,0.45
288,2656.49,1.25,0.45
289,2472.61,1.25,0.45
290,2281.67,1.25,0.45
291,4043.10,1.25,0.45
292,2869.92,1.20,0.45
293,4650.43,1.25,0.45
294,3476.18,1.25,0.45
295,3285.47,1.20,0.45
296,4074.94,1.20,0.45
