ctrl_iteration,exec_time,tau_i,tau_o
0,3385.22,1.25,0.45
1,4183.62,1.25,0.45
2,3019.47,1.15,0.45
3,2835.92,1.20,0.45
4,3634.08,1.25,0.50
5,3451.71,1.25,0.45
6,4251.02,1.25,0.45
7,3085.31,1.25,0.45
8,1929.22,1.20,0.45
9,2735.74,1.20,0.45
10,2553.41,1.20,0.45
11,2378.59,1.20,0.50
12,2195.45,1.20,0.45
13,2013.03,1.25,0.45
14,1829.23,1.25,0.50
15,2619.16,1.25,0.45
16,2436.43,1.20,0.45
17,2253.01,1.25,0.45
18,3051.36,1.20,0.45
19,2868.64,1.25,0.45
20,4639.73,1.25,0.45
21,3475.60,1.20,0.45
22,4264.72,1.25,0.45
23,3100.47,1.20,0.45
24,3898.46,1.20,0.45
25,3716.33,1.25,0.45
26,2559.23,1.25,0.45
27,4330.81,1.20,0.45
28,3168.00,1.25,0.45
29,3955.94,1.15,0.45
30,2791.43,1.20,0.45
31,4563.15,1.20,0.45
32,3398.81,1.20,0.45
33,4196.21,1.20,0.45
34,3031.91,1.20,0.45
35,2839.93,1.20,0.45
36,4612.23,1.20,0.45
37,3447.27,1.20,0.45
38,2290.63,1.25,0.45
39,2116.65,1.25,0.45
40,1933.84,1.25,0.45
41,2731.71,1.20,0.45
42,2548.53,1.25,0.45
43,2374.04,1.25,0.45
44,2191.17,1.20,0.45
45,2016.57,1.20,0.45
46,1833.42,1.25,0.45
47,2631.92,1.15,0.45
48,4421.83,1.20,0.45
49,4246.11,1.20,0.45
50,3089.78,1.20,0.45
51,2915.80,1.20,0.45
52,4687.79,1.25,0.45
53,3522.38,1.25,0.45
54,4330.55,1.25,0.45
55,3165.68,1.20,0.45
56,3963.91,1.20,0.45
57,2799.12,1.20,0.45
58,3606.78,1.25,0.45
59,2727.59,1.20,0.45
60,3518.40,1.25,0.50
61,3065.64,1.25,0.45
62,3881.95,1.25,0.50
63,4670.68,1.25,0.45
64,3515.28,1.25,0.45
65,4314.45,1.25,0.45
66,2176.42,1.20,0.45
67,2001.75,1.20,0.45
68,1826.70,1.20,0.45
69,2634.57,1.25,0.50
70,2451.33,1.20,0.45
71,2276.55,1.20,0.45
72,2101.64,1.25,0.45
73,1919.67,1.25,0.45
74,2726.34,1.20,0.45
75,2543.44,1.20,0.45
76,4314.30,1.25,0.45
77,3150.07,1.20,0.45
78,2976.01,1.25,0.45
79,2784.73,1.25,0.45
80,4564.05,1.20,0.45
81,3398.91,1.20,0.45
82,4198.14,1.25,0.45
83,3033.38,1.20,0.45
84,3839.94,1.20,0.45
85,4639.01,1.25,0.45
86,3474.01,1.25,0.45
87,2587.92,1.20,0.50
88,3385.41,1.20,0.45
89,2925.05,1.25,0.45
90,3845.39,1.25,0.45
91,4522.32,1.20,0.50
92,3357.09,1.20,0.45
93,4154.96,1.25,0.45
94,2026.71,1.25,0.45
95,1834.49,1.20,0.45
96,2633.39,1.20,0.45
97,2458.62,1.20,0.45
98,2283.67,1.20,0.50
99,2101.19,1.20,0.45
100,1918.19,1.20,0.45
101,2716.49,1.20,0.45
102,2533.31,1.20,0.45
103,2350.70,1.25,0.45
104,4113.43,1.20,0.45
105,2957.08,1.20,0.45
106,2783.33,1.25,0.45
107,3581.67,1.25,0.45
108,3398.25,1.20,0.45
109,4196.76,1.20,0.50
110,3032.12,1.25,0.45
111,1867.15,1.20,0.45
112,3777.66,1.25,0.45
113,3456.05,1.25,0.45
114,4263.10,1.25,0.45
115,3097.82,1.25,0.45
116,3897.21,1.25,0.45
117,2731.81,1.20,0.45
118,4520.58,1.20,0.45
119,3356.06,1.20,0.45
120,3172.85,1.25,0.45
121,3980.60,1.25,0.45
122,2815.54,1.25,0.45
123,2640.87,1.25,0.45
124,2457.09,1.25,0.45
125,2274.98,1.20,0.45
126,2082.23,1.25,0.45
127,1900.16,1.25,0.45
128,2698.38,1.25,0.45
129,2506.45,1.25,0.45
130,2323.43,1.20,0.45
131,2139.84,1.25,0.45
132,1956.96,1.20,0.45
133,4710.37,1.20,0.45
134,4526.87,1.25,0.45
135,4343.90,1.25,0.45
136,3170.05,1.20,0.50
137,2014.20,1.25,0.45
138,3786.28,1.25,0.45
139,4583.53,1.25,0.45
140,3419.63,1.20,0.45
141,4218.17,1.25,0.45
142,3053.03,1.20,0.45
143,2862.00,1.25,0.45
144,4632.79,1.25,0.45
145,3460.15,1.25,0.50
146,4249.65,1.25,0.45
147,3085.31,1.20,0.45
148,2901.80,1.25,0.45
149,3700.07,1.15,0.45
150,3516.56,1.20,0.45
151,4316.17,1.20,0.45
152,3151.39,1.20,0.45
153,1986.30,1.25,0.45
154,1802.93,1.20,0.45
155,2610.74,1.20,0.45
156,2426.94,1.20,0.45
157,2235.87,1.15,0.45
158,2051.74,1.20,0.45
159,1868.85,1.20,0.45
160,2667.67,1.20,0.45
161,2484.59,1.25,0.45
162,2293.32,1.20,0.45
163,3091.13,1.25,0.45
164,2899.43,1.20,0.45
165,4670.64,1.25,0.45
166,3497.08,1.25,0.45
167,4287.61,1.20,0.45
168,3121.69,1.20,0.45
169,3913.58,1.25,0.50
170,2747.61,1.25,0.45
171,4536.13,1.20,0.45
172,3372.00,1.20,0.50
173,3188.38,1.25,0.45
174,3978.62,1.20,0.45
175,2813.13,1.25,0.50
176,3612.50,1.25,0.45
177,3429.10,1.20,0.45
178,4227.74,1.20,0.45
179,3063.12,1.25,0.45
180,1906.20,1.25,0.45
181,6631.96,1.20,0.45
182,4503.13,1.25,0.45
183,2348.13,1.20,0.45
184,2173.61,1.25,0.45
185,1989.93,1.20,0.45
186,1798.34,1.20,0.45
187,2596.63,1.25,0.45
188,2405.19,1.20,0.45
189,2230.71,1.20,0.45
190,2047.49,1.20,0.45
191,1864.32,1.25,0.45
192,2671.05,1.20,0.45
193,4443.16,1.20,0.45
194,3295.65,1.25,0.45
195,4077.22,1.20,0.45
196,2912.09,1.25,0.45
197,4701.14,1.25,0.45
198,3535.17,1.20,0.45
199,3353.44,1.20,0.45
200,4151.87,1.20,0.45
201,2986.44,1.20,0.45
202,1822.24,1.20,0.45
203,6538.44,1.20,0.45
204,5374.39,1.25,0.45
205,4487.28,1.20,0.45
206,4016.91,1.25,0.45
207,2852.63,1.25,0.45
208,4632.27,1.20,0.45
209,3467.72,1.25,0.45
210,3276.03,1.25,0.45
211,3093.07,1.20,0.45
212,1919.63,1.25,0.45
213,2717.91,1.25,0.45
214,2525.97,1.20,0.45
215,2342.98,1.25,0.45
216,2151.35,1.25,0.45
217,1959.60,1.20,0.45
218,1889.20,1.25,0.45
219,2566.00,1.20,0.45
220,2373.71,1.25,0.45
221,2182.34,1.20,0.45
222,3945.43,1.20,0.45
223,2771.48,1.25,0.45
224,4560.64,1.25,0.45
225,3395.94,1.25,0.45
226,3212.44,1.20,0.45
227,4003.73,1.30,0.45
228,2837.87,1.25,0.45
229,3628.47,1.20,0.45
230,3444.40,1.20,0.50
231,4234.90,1.20,0.45
232,3061.41,1.25,0.45
233,1896.29,1.20,0.45
234,6604.80,1.20,0.45
235,5430.34,1.20,0.45
236,4544.18,1.25,0.45
237,4074.04,1.25,0.45
238,2909.18,1.20,0.45
239,4698.45,1.25,0.45
240,3533.46,1.25,0.45
241,2367.38,1.20,0.45
242,2185.55,1.25,0.45
243,2001.96,1.20,0.45
244,1810.56,1.25,0.45
245,2608.88,1.20,0.45
246,2425.72,1.25,0.45
247,2242.65,1.20,0.45
248,2059.28,1.20,0.45
249,1876.86,1.20,0.45
250,2675.17,1.20,0.45
251,3473.48,1.20,0.45
252,3282.02,1.20,0.45
253,3098.43,1.25,0.45
254,3905.94,1.25,0.50
255,2732.44,1.20,0.45
256,4504.21,1.20,0.45
257,3330.46,1.25,0.45
258,4121.12,1.20,0.45
259,2946.81,1.20,0.45
260,2763.68,1.20,0.45
261,4543.10,1.25,0.45
262,3371.03,1.25,0.50
263,4168.94,1.20,0.45
264,2995.37,1.25,0.45
265,3785.62,1.25,0.45
266,4575.13,1.20,0.45
267,3410.64,1.20,0.45
268,3227.37,1.20,0.45
269,3035.81,1.25,0.45
270,3824.99,1.20,0.45
271,2651.69,1.20,0.45
272,2468.91,1.20,0.45
273,2277.76,1.25,0.45
274,2085.28,1.20,0.45
275,1901.84,1.20,0.45
276,2700.86,1.25,0.45
277,2518.00,1.20,0.45
278,2334.42,1.25,0.45
279,2151.39,1.20,0.45
280,1968.28,1.25,0.45
281,3748.73,1.25,0.45
282,2583.88,1.20,0.50
283,4354.22,1.25,0.45
284,3190.25,1.20,0.45
285,3979.97,1.25,0.45
286,2815.38,1.20,0.45
287,3622.44,1.20,0.45
288,3430.62,1.20,0.45
289,4229.18,1.20,0.45
290,3055.70,1.25,0.45
291,1890.94,1.25,0.45
292,4235.80,1.25,0.45
293,4451.73,1.25,0.45
294,3287.66,1.25,0.45
295,4086.16,1.25,0.50
296,2920.99,1.25,0.45
297,4710.04,1.25,0.50
298,3545.28,1.25,0.45
299,3361.85,1.25,0.45
300,4161.03,1.25,0.45
301,2014.45,1.25,0.45
302,1831.06,1.25,0.45
303,2621.76,1.25,0.45
304,2438.02,1.25,0.45
305,2254.89,1.25,0.45
306,2063.18,1.25,0.45
307,1880.39,1.20,0.45
308,2678.58,1.20,0.45
309,2495.58,1.20,0.45
310,2312.54,1.25,0.45
311,4093.32,1.20,0.45
312,2927.77,1.25,0.50
313,2736.21,1.25,0.45
314,4534.31,1.25,0.45
315,3342.56,1.25,0.45
316,4141.32,1.25,0.45
317,2967.91,1.20,0.45
318,3766.06,1.25,0.45
319,3591.53,1.20,0.45
320,2426.99,1.25,0.45
321,4206.95,1.25,0.45
322,3042.35,1.20,0.45
323,3841.56,1.20,0.45
324,2684.19,1.25,0.45
325,4465.25,1.20,0.45
326,3300.26,1.25,0.45
327,4098.50,1.25,0.45
328,2934.12,1.25,0.45
329,2742.05,1.20,0.45
330,4513.43,1.20,0.45
331,2375.59,1.25,0.45
332,2184.71,1.25,0.45
333,2001.38,1.25,0.45
334,1809.28,1.20,0.50
335,2608.39,1.20,0.45
336,2424.45,1.25,0.45
337,2241.34,1.20,0.45
338,2050.13,1.25,0.45
339,1866.99,1.20,0.45
340,2665.07,1.25,0.45
341,4437.14,1.25,0.45
342,3272.26,1.25,0.45
343,4070.23,1.25,0.45
344,2914.56,1.20,0.45
345,4703.25,1.25,0.45
346,3547.61,1.20,0.45
347,3364.37,1.25,0.45
348,4171.37,1.20,0.45
349,3006.51,1.25,0.45
350,1850.76,1.25,0.45
351,3622.34,1.25,0.45
352,4420.00,1.20,0.45
353,3255.73,1.20,0.45
354,4054.17,1.20,0.45
355,2889.19,1.25,0.45
356,4670.10,1.25,0.45
357,3505.25,1.25,0.45
358,4303.35,1.25,0.45
359,3130.45,1.25,0.45
360,2947.29,1.25,0.45
361,1790.72,1.20,0.50
362,2589.60,1.25,0.45
363,2406.32,1.20,0.45
364,2214.58,1.20,0.45
365,2031.54,1.25,0.45
366,1848.05,1.20,0.45
367,2638.25,1.20,0.45
368,2455.10,1.20,0.45
369,2272.24,1.20,0.45
370,2088.14,1.25,0.45
371,3860.39,1.20,0.45
372,4659.30,1.25,0.45
373,3493.95,1.25,0.45
374,3311.70,1.25,0.45
375,3127.80,1.20,0.50
376,3925.89,1.25,0.45
377,2762.34,1.20,0.45
378,3560.40,1.25,0.45
379,3376.88,1.20,0.45
380,4175.25,1.20,0.45
381,3010.82,1.20,0.45
382,2827.70,1.25,0.45
383,4607.79,1.20,0.45
384,3443.10,1.20,0.45
385,4249.67,1.25,0.45
386,3093.82,1.25,0.45
387,2919.80,1.25,0.45
388,4690.98,1.25,0.45
389,3534.60,1.25,0.45
390,4334.06,1.20,0.45
