ctrl_iteration,exec_time,tau_i,tau_o
0,1984.65,2.10,0.60
1,1897.09,2.10,0.60
2,2565.90,2.10,0.60
3,2364.83,2.05,0.60
4,2173.23,2.05,0.65
5,3945.00,2.10,0.60
6,2762.96,2.10,0.60
7,4525.07,2.10,0.65
8,3352.04,2.10,0.60
9,3159.87,2.10,0.60
10,2968.83,2.10,0.60
11,3757.81,2.10,0.65
12,4539.10,2.10,0.60
13,3365.68,2.10,0.60
14,3165.12,2.05,0.60
15,3955.55,2.10,0.60
16,2781.66,2.10,0.60
17,3571.63,2.10,0.60
18,3379.35,2.10,0.60
19,4168.86,2.10,0.60
20,2996.22,2.05,0.60
21,1822.40,2.10,0.60
22,6522.19,2.10,0.60
23,5348.62,2.05,0.60
24,4452.82,2.10,0.60
25,2028.17,2.10,0.60
26,1836.32,2.10,0.60
27,2626.78,2.10,0.60
28,2435.07,2.10,0.60
29,2242.38,2.10,0.65
30,2050.25,2.10,0.60
31,1859.28,2.10,0.60
32,2648.58,2.30,0.60
33,2448.23,2.10,0.65
34,2256.44,2.10,0.60
35,4027.04,2.10,0.65
36,2855.12,2.05,0.60
37,4618.05,2.10,0.60
38,3445.13,2.10,0.60
39,3261.34,2.10,0.60
40,3061.10,2.10,0.65
41,3850.88,2.10,0.60
42,4641.17,2.10,0.60
43,3466.21,2.10,0.60
44,3274.79,2.10,0.60
45,4056.36,2.10,0.60
46,2891.35,2.10,0.60
47,3681.62,2.10,0.60
48,3489.10,2.10,0.60
49,4270.62,2.10,0.60
50,3106.25,2.10,0.60
51,1931.95,2.10,0.65
52,6640.45,2.10,0.60
53,5466.68,2.10,0.65
54,4580.50,2.05,0.60
55,2155.51,2.10,0.65
56,1972.83,2.10,0.60
57,1892.94,2.10,0.60
58,2561.80,2.10,0.60
59,2377.90,2.10,0.60
60,2186.73,2.10,0.60
61,2003.15,2.10,0.65
62,1811.24,2.10,0.65
63,2592.84,2.10,0.60
64,2410.20,2.10,0.60
65,4171.92,2.10,0.60
66,2999.65,2.10,0.65
67,3789.26,2.05,0.60
68,2624.33,2.10,0.60
69,4396.33,2.10,0.60
70,3222.16,2.05,0.60
71,4020.96,2.10,0.60
72,2848.05,2.10,0.60
73,3637.32,2.10,0.60
74,3445.55,2.10,0.60
75,4244.36,2.10,0.60
76,3070.45,2.10,0.60
77,2887.16,2.10,0.65
78,4650.22,2.10,0.60
79,3476.32,2.10,0.60
80,4258.82,2.10,0.60
81,3084.30,2.10,0.60
82,3874.94,2.10,0.60
83,4656.53,2.10,0.65
84,2596.79,2.10,0.60
85,2326.47,2.10,0.65
86,2142.37,2.10,0.60
87,1951.29,2.10,0.60
88,2741.28,2.10,0.60
89,2548.68,2.10,0.65
90,2366.56,2.10,0.60
91,2174.43,2.10,0.60
92,1982.05,2.10,0.60
93,1790.88,2.10,0.60
94,4534.99,2.10,0.60
95,3370.39,2.10,0.60
96,2631.14,2.10,0.60
97,3386.10,2.10,0.60
98,2803.38,2.10,0.60
99,4584.25,2.10,0.65
100,3411.20,2.10,0.60
101,4200.16,2.10,0.60
102,3026.78,2.10,0.60
103,2834.52,2.10,0.60
104,4598.24,2.10,0.60
105,3424.47,2.10,0.60
106,4205.70,2.10,0.60
107,3032.54,2.10,0.60
108,2848.38,2.10,0.65
109,3639.37,2.10,0.60
110,3447.47,2.10,0.60
111,4236.84,2.10,0.60
112,3063.55,2.05,0.60
113,1890.09,2.10,0.60
114,2680.24,2.10,0.60
115,2496.26,2.10,0.60
116,2305.22,2.05,0.60
117,2112.57,2.10,0.60
118,1921.24,2.10,0.60
119,2719.86,2.05,0.60
120,2536.47,2.05,0.60
121,2344.42,2.10,0.60
122,2161.24,2.10,0.60
123,2951.95,2.10,0.60
124,2759.27,2.10,0.65
125,4540.02,2.10,0.60
126,3374.89,2.10,0.60
127,2210.41,2.10,0.60
128,3972.12,2.10,0.60
129,2809.04,2.05,0.60
130,4571.43,2.10,0.60
131,3407.33,2.10,0.65
132,4204.99,2.10,0.60
133,3197.40,2.10,0.60
134,1979.67,2.10,0.65
135,3646.92,2.10,0.60
136,3454.75,2.10,0.60
137,4252.85,2.10,0.65
138,3088.66,2.10,0.65
139,1923.76,2.10,0.60
140,6631.82,2.10,0.60
141,5458.13,2.10,0.60
142,4572.46,2.10,0.60
143,2147.00,2.10,0.60
144,1963.88,2.10,0.60
145,1893.51,2.10,0.60
146,2570.84,2.10,0.60
147,2387.37,2.10,0.60
148,2196.18,2.10,0.60
149,2012.55,2.10,0.60
150,1829.90,2.10,0.60
151,2619.94,2.10,0.60
152,2436.28,2.10,0.65
153,4217.48,2.10,0.65
154,4033.51,2.10,0.60
155,2868.79,2.10,0.65
156,3676.17,2.10,0.60
157,3492.75,2.10,0.60
158,4291.78,2.10,0.60
159,3126.52,2.10,0.60
160,1961.98,2.10,0.60
161,3742.12,2.10,0.60
162,4548.99,2.10,0.60
163,3384.83,2.10,0.60
164,2211.36,2.10,0.60
165,3991.27,2.10,0.65
166,2817.89,2.05,0.60
167,4589.05,2.10,0.65
168,3424.82,2.10,0.60
169,4222.75,2.05,0.60
170,3057.64,2.10,0.65
171,2884.13,2.30,0.60
172,3682.45,2.10,0.60
173,2517.76,2.10,0.60
174,2334.30,2.10,0.60
175,2151.81,2.05,0.60
176,1967.90,2.05,0.60
177,1897.65,2.10,0.60
178,2575.88,2.10,0.65
179,2392.04,2.10,0.65
180,2209.34,2.10,0.60
181,2025.65,2.10,0.60
182,1842.15,2.10,0.60
183,4604.50,2.10,0.65
184,4421.14,2.10,0.60
185,3255.93,2.10,0.60
186,2091.55,2.05,0.60
187,3863.58,2.10,0.65
188,4653.83,2.10,0.65
189,3487.89,2.10,0.60
190,4278.04,2.10,0.60
191,3104.62,2.10,0.60
192,2921.15,2.10,0.60
193,4685.17,2.10,0.65
194,3519.62,2.10,0.65
195,4318.09,2.25,0.60
196,3153.18,2.10,0.60
197,2970.57,2.05,0.65
198,2795.57,2.10,0.60
199,4557.84,2.10,0.65
200,3393.77,2.10,0.60
201,4192.75,2.10,0.65
202,2054.13,2.10,0.60
203,1871.55,2.10,0.60
204,2661.52,2.10,0.60
205,2478.14,2.10,0.60
206,2286.40,2.10,0.60
207,2094.53,2.10,0.60
208,1912.13,2.10,0.60
209,2701.28,2.10,0.60
210,2509.06,2.30,0.65
211,2326.72,2.10,0.60
212,4090.27,2.10,0.65
213,2924.21,2.10,0.65
214,4705.45,2.10,0.60
215,3540.52,2.10,0.60
216,3339.67,2.10,0.60
217,4129.41,2.10,0.65
218,2955.97,2.10,0.60
219,1791.46,2.10,0.60
220,6490.51,2.10,0.60
221,5308.09,2.10,0.60
222,4447.86,2.05,0.65
223,3943.73,2.10,0.65
224,2777.55,2.10,0.65
225,4558.58,2.10,0.60
226,3385.00,2.10,0.65
227,2211.26,2.10,0.60
228,3982.67,2.05,0.65
229,2809.19,2.10,0.60
230,4572.22,2.10,0.60
231,2425.44,2.10,0.60
232,2233.83,2.05,0.60
233,2041.83,2.10,0.65
234,1850.03,2.10,0.65
235,2639.71,2.10,0.60
236,2457.24,2.25,0.60
237,2265.42,2.10,0.65
238,2073.16,2.05,0.65
239,1890.11,2.10,0.60
240,2680.19,2.10,0.60
241,4442.94,2.10,0.60
242,3277.97,2.10,0.65
243,3095.17,2.10,0.60
244,2903.33,2.10,0.60
245,4657.32,2.10,0.60
246,3492.63,2.10,0.60
247,4283.26,2.10,0.60
248,3108.47,2.10,0.60
249,3898.00,2.05,0.65
250,3707.47,2.10,0.60
251,2534.25,2.10,0.65
252,4305.40,2.10,0.60
253,3131.63,2.10,0.60
254,3922.08,2.10,0.60
255,2747.73,2.10,0.60
256,3546.58,2.10,0.65
257,3345.51,2.05,0.60
258,4136.32,2.10,0.65
259,2970.97,2.05,0.60
260,1806.73,2.05,0.60
261,2596.13,2.10,0.60
262,2404.01,2.10,0.65
263,2221.01,2.10,0.65
264,2029.29,2.10,0.60
265,1846.51,2.10,0.60
266,2636.12,2.10,0.65
267,2443.96,2.10,0.60
268,2252.31,2.10,0.60
269,2060.93,2.10,0.60
270,2850.57,2.10,0.65
271,4630.97,2.10,0.60
272,4438.70,2.30,0.65
273,3265.48,2.10,0.60
274,2100.41,2.10,0.60
275,3871.93,2.05,0.60
276,4670.52,2.10,0.60
277,3497.22,2.10,0.60
278,4295.50,2.05,0.60
279,3131.18,2.10,0.60
280,2939.38,2.05,0.60
281,4701.55,2.10,0.60
282,3528.34,2.30,0.60
283,4319.27,2.05,0.60
284,3144.57,2.10,0.65
285,2961.94,2.10,0.60
286,2778.48,2.10,0.60
287,4541.67,2.10,0.60
288,3368.60,2.10,0.60
289,4157.61,2.10,0.65
290,2011.58,2.05,0.60
291,1820.40,2.10,0.60
292,2609.51,2.10,0.60
293,2426.50,2.10,0.60
294,2234.93,2.10,0.60
295,2051.60,2.10,0.60
296,1886.28,2.10,0.65
297,2657.47,2.10,0.60
298,2466.91,2.10,0.65
299,2274.36,2.10,0.65
300,4038.09,2.10,0.60
301,2863.96,2.10,0.60
302,4644.14,2.10,0.65
303,3478.90,2.10,0.65
304,3287.59,2.10,0.60
305,4077.61,2.10,0.60
306,2912.31,2.10,0.65
307,3694.55,2.10,0.60
308,3510.72,2.10,0.65
309,4300.93,2.10,0.60
310,3136.14,2.10,0.60
311,2943.70,2.10,0.60
312,2761.20,2.10,0.60
313,4523.75,2.10,0.65
314,3358.90,2.30,0.60
315,4157.28,2.05,0.65
316,3010.65,2.10,0.65
317,2800.69,2.10,0.60
318,3608.14,2.05,0.60
319,3425.77,2.10,0.65
320,2251.26,2.10,0.65
321,2068.41,2.10,0.60
322,1885.10,2.10,0.60
323,2675.13,2.10,0.60
324,2483.61,2.10,0.60
325,2291.44,2.05,0.60
326,2108.38,2.10,0.65
327,1924.86,2.10,0.60
328,2724.33,2.10,0.60
329,2532.05,2.10,0.60
